박지훈,KCI,중국 연변대학 과학기술학원 건축예술학부,,,,
박진규,SCIENCEON,Korea Testing Laboratory,KCI,한국산업기술시험원,,
박진오,KCI,한국수출입은행,,,,
박진완,KCI,중앙대학교,,,,
박진형,KCI,한국해양과학기술원,,,,
박찬걸,KCI,대구가톨릭대학교,,,,
박찬모,KCI,순천대학교,,,,
박철민,NTIS,연세대학교,,,,
박춘근,SCIENCEON,(주)태창닛케이,,,,
박필영,KCI,운암중학교,,,,
박해일,KCI,명지대학교,,,,
박현구0,SCIENCEON,한양대 친환경건축연구센터,,,,
박현구1,KCI,송원대학교,,,,
박현주,KCI,서울여자대학교,,,,
박홍근,KCI,서울대학교,,,,
박홍윤,KCI,한국교통대학교,,,,
박효선,KCI,연세대학교,,,,
박희완,KCI,한라대학교,,,,
박희찬,KCI,가톨릭대학교,,,,
반영운,SCIENCEON,충북대학교 도시공학과,,,,
반영환,KCI,국민대학교,,,,
방기정,KCI,(주) 굿게이트,,,,
배규리0,KCI,廈門大學,,,,
배규리1,KCI,단국대학교,,,,
배명수,SCIENCEON,(주) 유니텍 지휘지원체계개발사업단 2팀,,,,
배명진,SCIENCEON,숭실대학교 정보통신공학과,KCI,숭실대학교,,
배묘정,KCI,서강대학교 트랜스내셔널 인문학연구소,,,,
배상준,KCI,건국대학교,,,,
배성옥,KCI,동부산대학교,,,,
배수호,KCI,성균관대학교,,,,
배은한,KCI,단국대학교,,,,
배재권,KCI,계명대학교,,,,
배재혁,KCI,경기과학고등학교,,,,
배정민,KCI,중앙대학교,,,,
백두현,KCI,경북대학교,,,,
백서윤,KCI,서울대학교,,,,
백수인,KCI,조선대학교,,,,
백승석,KCI,한국농어촌공사,,,,
백영주,KCI,중앙대학교,,,,
백종우,KCI,경희대학교,,,,
백종후,KCI,한국세라믹기술원,,,,
백주련,KCI,평택대학교,,,,
백진경,KCI,인제대학교,,,,
변준호,SCIENCEON,강원대학교 대학원 기계융합공학과,KCI,강원대학교,,
변혁,KCI,성균관대학교,,,,
謝明輝,KCI,臺灣亞洲大學通識?育中心,,,,
서규원,KCI,한림대학교,,,,
서대석,KCI,서울대학교,,,,
서대원,SCIENCEON,(주)에코닝 지진방재기술연구소,KCI,주식회사에코닝,,
서미령,KCI,연세대학교,,,,
서민우,KCI,뉴욕 퍼킨스이스트맨 건축사무소,,,,
서상철,KCI,창원대학교 산학협력선도대학 육성사업단,,,,
서상택,KCI,충북대학교,,,,
서상현,SCIENCEON,Korea Aerospace Research Institute,KCI,한국항공우주연구원,,
서수경,SCIENCEON,숙명여자대학교,KCI,숙명여자대학교,,
徐詩琪,KCI,香港大學?育學院,,,,
서여주,KCI,우송대학교,,,,
서영수,KCI,국방과학연구소,,,,
서영숙,KCI,한남대학교,,,,
서용석,KCI,한국과학기술원,,,,
서은경,SCIENCEON,한성대학교 지식정보학부,KCI,한성대학교,,
서자호,KCI,충남대학교,,,,
서정매0,KCI,부산대학교,,,,
서정매1,KCI,동국대학교,,,,
서정자,KCI,서강대학교,,,,
서종범,SCIENCEON,서울과학기술대학교 기계자동차공학과,KCI,서울과학기술대학교,,
